Version,Type,Class file format version[8],Release date,End of public updates (free),End of extended support (paid),Scraped Date
JDK 1.0,,45[9],23-Jan-96,May-96,—,16-10-2025
JDK 1.1,,45,18-Feb-97,Oct-02,—,16-10-2025
J2SE 1.2,,46,04-Dec-98,Nov-03,—,16-10-2025
J2SE 1.3,,47,08-May-00,Mar-06,—,16-10-2025
J2SE 1.4,,48,13-Feb-02,Oct-08,—,16-10-2025
J2SE 5.0 (1.5),,49,30-Sep-04,Oct-09,—,16-10-2025
Java SE 6 (1.6),,50,11-Dec-06,"April 2013 for Oracle
December 2018 for Azul[10]","December 2016 for Red Hat[11]
October 2018 for Oracle[12]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]",16-10-2025
Java SE 7 (1.7),,51,28-Jul-11,"July 2015 for Oracle
July 2022 for Azul[10]
September 2022 for IBM Java SDK[14]","June 2020 for Red Hat[11]
July 2022 for Oracle[15]
December 2027 for Azul[10]
March 2028 for BellSoft Liberica[13]",16-10-2025
Java SE 8 (1.8),LTS,52,18-Mar-14,"April 2019 for Oracle
April 2025 for IBM Java SDK[14]
November 2026 for Red Hat[11]
November 2026 for Azul[10]
November 2026 for IBM Semeru Runtimes[16]
December 2030 for Eclipse Temurin[17]
December 2030 for Amazon Corretto[18]","December 2030 for Oracle[4]
December 2030 for Azul[10]
March 2031 for BellSoft Liberica[13]",16-10-2025
Java SE 9 (1.9),,53,21-Sep-17,Mar-18,—,16-10-2025
Java SE 10 (1.10),,54,20-Mar-18,Sep-18,—,16-10-2025
Java SE 11,LTS,55,25-Sep-18,"April 2019 for Oracle
September 2027 for Microsoft Build of OpenJDK[19]
October 2024 for Red Hat[11]
October 2027 for Eclipse Temurin[17]
October 2027 for IBM Semeru Runtimes[16]
January 2032 for Amazon Corretto[18]
January 2032 for Azul[10]","January 2032 for Azul[10]
March 2032 for BellSoft Liberica[13]
October 2027 for Red Hat[11]
January 2032 for Oracle[4]",16-10-2025
Java SE 12,,56,19-Mar-19,Sep-19,—,16-10-2025
Java SE 13,,57,17-Sep-19,Mar-20,—,16-10-2025
Java SE 14,,58,17-Mar-20,Sep-20,—,16-10-2025
Java SE 15,,59,16-Sep-20,Mar-21,—,16-10-2025
Java SE 16,,60,16-Mar-21,Sep-21,—,16-10-2025
Java SE 17,LTS,61,14-Sep-21,"September 2024 for Oracle[4]
September 2027 for Microsoft Build of OpenJDK[19]
October 2027 for Eclipse Temurin[17]
October 2027 for Red Hat[11]
October 2027 for IBM Semeru Runtimes[16]
October 2029 for Amazon Corretto[18]
September 2029 for Azul[10]","September 2029 for Oracle[4]
March 2030 for BellSoft Liberica[13]",16-10-2025
Java SE 18,,62,22-Mar-22,Sep-22,—,16-10-2025
Java SE 19,,63,20-Sep-22,Mar-23,—,16-10-2025
Java SE 20,,64,21-Mar-23,Sep-23,—,16-10-2025
Java SE 21,LTS,65,19-Sep-23,"September 2028 for Oracle[4]
September 2028 for Microsoft Build of OpenJDK[19]
December 2029 for Red Hat[11]
December 2029 for Eclipse Temurin[17]
December 2029 for IBM Semeru Runtimes[16]
October 2030 for Amazon Corretto[18]
September 2031 for Azul[10]","September 2031 for Oracle[4]
March 2032 for BellSoft Liberica[13]",16-10-2025
Java SE 22,,66,19-Mar-24,Sep-24,—,16-10-2025
Java SE 23,,67,17-Sep-24,"March 2025 for Oracle
March 2025 for Azul[10]
March 2025 for IBM Semeru Runtimes[16]",—,16-10-2025
Java SE 24,,68,18-Mar-25,Sep-25,—,16-10-2025
Java SE 25,LTS,69,16-Sep-25,"September 2030 for Oracle[4]
September 2031 for Eclipse Temurin[17]
September 2033 for Azul[10]","September 2033 for Oracle[4]
March 2034 for BellSoft Liberica[13]",16-10-2025
"Legend:
Unsupported
Supported
Latest version
Future version",,,,,,16-10-2025
