SLES version,Latest SP,FCS Release date[62],General Ends[62],LTSS Ends[63],LTSS Core Ends,Scraped Date
first,—,31-Oct-00,?,—,—,16-10-2025
7,13-Oct-01,?,,,,16-10-2025
8,4,01-Oct-02,30-Dec-07,30-Dec-09,,16-10-2025
9,4,03-Aug-04,31-Aug-11,01-Aug-14,,16-10-2025
10,4,17-Jun-06,31-Jul-13,30-Jul-16,,16-10-2025
11,4,24-Mar-09,31-Mar-19,31-Mar-22,31-Mar-28,16-10-2025
12,5,27-Oct-14,31-Oct-24,31-Oct-27,01-Oct-30,16-10-2025
15,7,16-Jul-18,31-Jul-31,31-Jul-34,01-Dec-37,16-10-2025
16,PublicRC,TBA,TBA,TBA,TBA,16-10-2025
"Unsupported
Supported
Latest version
Preview version",,,,,,16-10-2025
